sample_id,Type,UMAP1,UMAP2,motility_cluster
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000009970,mt_B-cell,12.011821,18.077894,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000000048,mt_B-cell,11.867636,18.27287,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_mt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000010757,mt_B-cell,11.280552,18.174435,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_mt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000004175,mt_B-cell,12.312469,17.793547,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_mt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000000160,mt_B-cell,11.7657795,17.601107,0
4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_mt_B-cell_4-Good-D10-B1-ZT1-45-132-FOV230-256px_Statistics_1000006191,mt_B-cell,12.771267,17.310118,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000006866,mt_B-cell,11.684549,17.132898,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000024003,mt_B-cell,11.135203,17.64703,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000017854,mt_B-cell,11.170841,17.6811,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000000006,mt_B-cell,11.609164,18.40187,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000017101,mt_B-cell,11.978496,17.78375,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_mt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000006602,mt_B-cell,11.545376,18.394127,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000003060,mt_B-cell,11.355838,17.507856,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000000037,mt_B-cell,11.5274,18.340511,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000008147,mt_B-cell,12.721173,17.192247,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000000037,mt_B-cell,11.770615,18.41815,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000008753,mt_B-cell,11.311734,18.079943,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000016537,mt_B-cell,12.057619,17.110636,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000004023,mt_B-cell,11.749546,18.482962,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_mt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000019599,mt_B-cell,12.042204,16.828674,0
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000004390,mt_B-cell,11.66627,18.162075,0
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000010018,mt_B-cell,11.485089,18.14974,0
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000008630,mt_B-cell,11.820888,18.17062,0
7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_mt_B-cell_7-Good-D11-C-M2L-ZT1-063-150-FOV230-320px_Statistics_1000000121,mt_B-cell,12.558886,17.652687,0
9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_mt_B-cell_9-Good-D11-B2-ZT9-50-137-FOV230-256px_Statistics_1000001108,mt_B-cell,11.394318,16.54587,0
1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_1-Good-D09-C1-ZT1-70-157-FOV230-256px_Statistics_1000009009,wt_B-cell,11.343146,18.03375,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000003605,wt_B-cell,11.693599,17.96068,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000000011,wt_B-cell,12.181982,17.93621,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000000022,wt_B-cell,12.18832,18.153763,0
2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_wt_B-cell_2-Good-D9-B-M1L-ZT1-070-157-FOV230-320px_Statistics_1000000521,wt_B-cell,12.249473,17.39777,0
5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_wt_B-cell_5-Good-D10-C2-ZT1-70-157-FOV230-256px_Statistics_1000008466,wt_B-cell,12.241729,17.628521,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000008847,wt_B-cell,12.243629,16.945137,0
6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_wt_B-cell_6-Good-D10-C2-ZT2-20-107-FOV230-256px_Statistics_1000001611,wt_B-cell,11.634599,17.607319,0
6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_wt_B-cell_6-Good-D11-C2-ZT6-30-117-FOV230-256px_Statistics_1000000011,wt_B-cell,11.629432,17.8917,0
