dataset,UMAP1,UMAP2,zone,type,behavior_cluster
scRNA-seq,2.0022228,9.464098,LZ,EZH2,
scRNA-seq,0.21438536,11.246122,LZ,EZH2,
scRNA-seq,1.9867396,9.978437,LZ,EZH2,
scRNA-seq,2.0574245,10.165468,LZ,EZH2,
scRNA-seq,1.9939936,10.877066,LZ,EZH2,
scRNA-seq,3.054671,8.991165,LZ,EZH2,
scRNA-seq,-1.1601131,11.247861,LZ,EZH2,
scRNA-seq,-0.73130023,11.082223,LZ,EZH2,
scRNA-seq,3.1749327,8.91647,LZ,EZH2,
scRNA-seq,1.1122795,11.557519,LZ,EZH2,
scRNA-seq,2.0038643,9.079683,LZ,EZH2,
scRNA-seq,-2.472061,11.572285,LZ,EZH2,
scRNA-seq,-0.8330452,10.800621,LZ,EZH2,
scRNA-seq,-1.428843,12.749102,LZ,EZH2,
scRNA-seq,-0.6015266,11.479332,LZ,EZH2,
scRNA-seq,3.1778975,10.17456,LZ,EZH2,
scRNA-seq,1.3688009,11.244302,LZ,EZH2,
scRNA-seq,-0.06993802,12.968891,LZ,EZH2,
scRNA-seq,2.4961362,9.189516,LZ,EZH2,
scRNA-seq,2.1079488,9.086273,LZ,EZH2,
scRNA-seq,-2.3362741,11.9708,LZ,EZH2,
scRNA-seq,-0.87689316,13.2945795,LZ,EZH2,
scRNA-seq,0.9543617,10.132625,LZ,EZH2,
scRNA-seq,-1.3497443,12.181663,LZ,EZH2,
scRNA-seq,-0.29546213,11.369947,LZ,EZH2,
scRNA-seq,-3.4337082,9.841078,LZ,EZH2,
scRNA-seq,0.85156393,11.370554,LZ,EZH2,
scRNA-seq,1.1964574,10.725834,LZ,EZH2,
scRNA-seq,-1.8356886,11.993874,LZ,EZH2,
scRNA-seq,1.3499906,11.34597,LZ,EZH2,
scRNA-seq,-1.5951234,11.930643,LZ,EZH2,
scRNA-seq,1.209209,9.864561,LZ,EZH2,
scRNA-seq,2.5684366,9.859251,LZ,EZH2,
scRNA-seq,1.2848604,12.532782,LZ,EZH2,
scRNA-seq,-0.55345714,13.133829,LZ,EZH2,
scRNA-seq,2.5658908,9.904841,LZ,EZH2,
scRNA-seq,0.9463278,12.133962,LZ,EZH2,
scRNA-seq,1.2651691,10.294689,LZ,EZH2,
scRNA-seq,-0.8411448,10.687422,LZ,EZH2,
scRNA-seq,-2.699335,11.296475,LZ,EZH2,
scRNA-seq,2.6185095,10.865749,LZ,EZH2,
scRNA-seq,-1.4258312,11.217689,LZ,EZH2,
scRNA-seq,-0.0505015,11.413665,LZ,EZH2,
scRNA-seq,0.13925594,10.501291,LZ,EZH2,
scRNA-seq,-0.4259837,10.621136,LZ,EZH2,
scRNA-seq,0.7263603,11.742137,LZ,EZH2,
scRNA-seq,3.0174654,9.566649,LZ,EZH2,
scRNA-seq,-0.89771813,10.9374695,LZ,EZH2,
scRNA-seq,-2.0159745,11.632094,LZ,EZH2,
scRNA-seq,-0.34096366,10.596347,LZ,EZH2,
scRNA-seq,-2.8877935,10.858473,LZ,EZH2,
scRNA-seq,-1.5034012,12.209032,LZ,EZH2,
scRNA-seq,1.404323,11.587312,LZ,EZH2,
scRNA-seq,-2.418475,10.775312,LZ,EZH2,
scRNA-seq,2.9437,8.590631,LZ,EZH2,
scRNA-seq,0.4680607,11.44412,LZ,EZH2,
scRNA-seq,-3.0103579,10.745975,LZ,EZH2,
scRNA-seq,0.21179281,10.119093,LZ,EZH2,
scRNA-seq,1.4923269,10.440293,LZ,EZH2,
scRNA-seq,-0.77452993,11.647395,LZ,EZH2,
scRNA-seq,-0.7898143,11.585865,LZ,EZH2,
scRNA-seq,2.3770502,10.066897,LZ,EZH2,
scRNA-seq,3.2917943,10.179509,LZ,EZH2,
scRNA-seq,-2.5448544,11.2368765,LZ,EZH2,
scRNA-seq,1.1550196,11.833398,LZ,EZH2,
scRNA-seq,0.064017884,10.809333,LZ,EZH2,
scRNA-seq,-2.0286195,10.964418,LZ,EZH2,
scRNA-seq,-0.03488041,10.076049,LZ,EZH2,
scRNA-seq,-1.3730239,12.012881,LZ,EZH2,
scRNA-seq,1.8217387,9.671361,LZ,EZH2,
scRNA-seq,-0.20839874,10.743862,LZ,EZH2,
scRNA-seq,2.1761966,9.243385,LZ,EZH2,
scRNA-seq,1.9376701,10.701543,LZ,EZH2,
scRNA-seq,-0.4711324,11.032729,LZ,EZH2,
scRNA-seq,0.36990157,12.926721,LZ,EZH2,
scRNA-seq,-5.2339272,6.3953395,DZ-LZ,EZH2,
scRNA-seq,-2.4446964,10.090022,DZ-LZ,EZH2,
scRNA-seq,-3.2392464,10.928609,DZ-LZ,EZH2,
scRNA-seq,-3.3053832,4.1750855,DZ-LZ,EZH2,
scRNA-seq,-4.815532,7.9842243,DZ-LZ,EZH2,
scRNA-seq,-3.607031,5.0889263,DZ-LZ,EZH2,
scRNA-seq,-3.3885722,10.733246,DZ-LZ,EZH2,
scRNA-seq,-5.4400563,9.852655,DZ-LZ,EZH2,
scRNA-seq,-4.3960214,5.436211,DZ-LZ,EZH2,
scRNA-seq,-3.5347843,5.2999506,DZ-LZ,EZH2,
scRNA-seq,-1.7014033,3.858124,DZ-LZ,EZH2,
scRNA-seq,-3.884931,6.41252,DZ-LZ,EZH2,
scRNA-seq,-3.8219,6.137347,DZ-LZ,EZH2,
scRNA-seq,-3.069384,6.4915323,DZ-LZ,EZH2,
scRNA-seq,-3.5525298,8.142249,DZ-LZ,EZH2,
scRNA-seq,-5.580939,6.163095,DZ-LZ,EZH2,
scRNA-seq,-4.5385313,8.624533,DZ-LZ,EZH2,
scRNA-seq,-3.9555206,10.377686,DZ-LZ,EZH2,
scRNA-seq,0.29785076,2.518185,DZ-LZ,EZH2,
scRNA-seq,-4.3304563,10.218935,DZ-LZ,EZH2,
scRNA-seq,-6.0738826,6.894826,DZ-LZ,EZH2,
scRNA-seq,-4.096785,5.3204293,DZ-LZ,EZH2,
scRNA-seq,-4.6960697,4.2958136,DZ-LZ,EZH2,
scRNA-seq,-3.6015668,9.578924,DZ-LZ,EZH2,
scRNA-seq,-3.89442,9.378181,DZ-LZ,EZH2,
scRNA-seq,-2.9061148,11.133432,DZ-LZ,EZH2,
scRNA-seq,-5.085979,6.401671,DZ-LZ,EZH2,
scRNA-seq,-3.1081707,4.7001314,DZ-LZ,EZH2,
scRNA-seq,-2.7923543,6.2864084,DZ-LZ,EZH2,
scRNA-seq,-0.9389404,3.0057151,DZ-LZ,EZH2,
scRNA-seq,-4.009834,9.090781,DZ-LZ,EZH2,
scRNA-seq,-3.6821856,9.547872,DZ-LZ,EZH2,
scRNA-seq,-3.2976434,10.455993,DZ-LZ,EZH2,
scRNA-seq,-5.4721136,9.17645,DZ-LZ,EZH2,
scRNA-seq,-5.5067444,9.650191,DZ-LZ,EZH2,
scRNA-seq,-2.353679,9.024422,DZ-LZ,EZH2,
scRNA-seq,-4.261378,6.4326334,DZ-LZ,EZH2,
scRNA-seq,-2.482689,7.821101,DZ-LZ,EZH2,
scRNA-seq,-3.317116,5.7401567,DZ-LZ,EZH2,
scRNA-seq,-3.0743515,9.655237,DZ-LZ,EZH2,
scRNA-seq,-3.5914013,5.766188,DZ-LZ,EZH2,
scRNA-seq,-2.3603678,11.691764,DZ-LZ,EZH2,
scRNA-seq,-1.9469987,7.857041,DZ-LZ,EZH2,
scRNA-seq,-5.2023635,6.205192,DZ-LZ,EZH2,
scRNA-seq,-0.020294154,10.972349,DZ-LZ,EZH2,
scRNA-seq,-4.748013,4.9483604,DZ-LZ,EZH2,
scRNA-seq,-3.966188,9.531566,DZ-LZ,EZH2,
scRNA-seq,-5.2900696,8.466737,DZ-LZ,EZH2,
scRNA-seq,-4.2912464,4.5525064,DZ-LZ,EZH2,
scRNA-seq,-3.5646653,10.959417,DZ-LZ,EZH2,
scRNA-seq,-2.6381726,6.8563366,DZ-LZ,EZH2,
scRNA-seq,-4.775872,8.758324,DZ-LZ,EZH2,
scRNA-seq,-0.8909097,2.7042022,DZ-LZ,EZH2,
scRNA-seq,-3.7814648,5.5592313,DZ-LZ,EZH2,
scRNA-seq,-2.2993438,11.695808,DZ-LZ,EZH2,
scRNA-seq,-3.7045133,6.7884707,DZ-LZ,EZH2,
scRNA-seq,-5.7777395,8.966447,DZ-LZ,EZH2,
scRNA-seq,-4.6012797,8.145665,DZ-LZ,EZH2,
scRNA-seq,-4.092762,7.5401716,DZ-LZ,EZH2,
scRNA-seq,-4.313943,9.743046,DZ-LZ,EZH2,
scRNA-seq,-4.128042,5.34469,DZ-LZ,EZH2,
scRNA-seq,-3.0978756,9.358339,DZ-LZ,EZH2,
scRNA-seq,-4.8286867,7.1967072,DZ-LZ,EZH2,
scRNA-seq,-2.5596125,3.3722303,DZ-LZ,EZH2,
scRNA-seq,-3.3127751,9.520584,DZ-LZ,EZH2,
scRNA-seq,-2.6638114,10.601782,DZ-LZ,EZH2,
scRNA-seq,-5.160321,8.372715,DZ-LZ,EZH2,
scRNA-seq,-4.4843435,10.093038,DZ-LZ,EZH2,
scRNA-seq,-5.0249667,6.839239,DZ-LZ,EZH2,
scRNA-seq,-3.7206597,5.164253,DZ-LZ,EZH2,
scRNA-seq,-3.2556794,7.855197,DZ-LZ,EZH2,
scRNA-seq,-3.9024527,9.995337,DZ-LZ,EZH2,
scRNA-seq,-4.8701982,5.9626083,DZ-LZ,EZH2,
scRNA-seq,-4.97306,10.197622,DZ-LZ,EZH2,
scRNA-seq,-5.214197,5.897149,DZ-LZ,EZH2,
scRNA-seq,-0.1910799,2.1967914,DZ,EZH2,
scRNA-seq,-4.383981,4.140843,DZ,EZH2,
scRNA-seq,-2.1770298,3.8923957,DZ,EZH2,
scRNA-seq,-2.7497375,1.0490787,DZ,EZH2,
scRNA-seq,-1.595052,0.68160397,DZ,EZH2,
scRNA-seq,-4.314965,6.6480217,DZ,EZH2,
scRNA-seq,-4.0883784,5.7600546,DZ,EZH2,
scRNA-seq,-1.2688725,0.36155504,DZ,EZH2,
scRNA-seq,-0.34502563,2.6227725,DZ,EZH2,
scRNA-seq,-0.17245491,0.5541603,DZ,EZH2,
scRNA-seq,-3.74316,2.522965,DZ,EZH2,
scRNA-seq,-4.2638507,5.243159,DZ,EZH2,
scRNA-seq,-3.531432,2.600373,DZ,EZH2,
scRNA-seq,-3.6477628,3.8222785,DZ,EZH2,
scRNA-seq,-3.4677703,1.0908697,DZ,EZH2,
scRNA-seq,-0.5216747,0.051532116,DZ,EZH2,
scRNA-seq,-3.1371615,0.79166514,DZ,EZH2,
scRNA-seq,-0.90900815,2.0840197,DZ,EZH2,
scRNA-seq,-0.89775765,2.8961244,DZ,EZH2,
scRNA-seq,-0.46882674,2.1206253,DZ,EZH2,
scRNA-seq,-0.36615238,0.16284794,DZ,EZH2,
scRNA-seq,-3.1174443,3.6589007,DZ,EZH2,
scRNA-seq,-4.2098913,4.8578777,DZ,EZH2,
scRNA-seq,-3.9372244,2.1736445,DZ,EZH2,
scRNA-seq,-0.81169367,2.4275591,DZ,EZH2,
scRNA-seq,-4.1352124,2.5699723,DZ,EZH2,
scRNA-seq,-0.24235205,0.6208533,DZ,EZH2,
scRNA-seq,-3.59876,3.162066,DZ,EZH2,
scRNA-seq,-5.116933,6.542942,DZ,EZH2,
scRNA-seq,-3.827414,6.7666383,DZ,EZH2,
scRNA-seq,-0.679068,3.4698963,DZ,EZH2,
scRNA-seq,-0.7410433,2.067185,DZ,EZH2,
scRNA-seq,-0.7054386,0.53521854,DZ,EZH2,
scRNA-seq,-4.16651,1.8351407,DZ,EZH2,
scRNA-seq,-0.27866015,2.4091759,DZ,EZH2,
scRNA-seq,-4.1513243,2.389804,DZ,EZH2,
scRNA-seq,-0.00910569,0.79540294,DZ,EZH2,
scRNA-seq,-4.73129,7.652108,DZ,EZH2,
scRNA-seq,-0.72106045,2.5659618,DZ,EZH2,
scRNA-seq,-0.4840319,1.2083448,DZ,EZH2,
scRNA-seq,-1.0424228,1.9551344,DZ,EZH2,
scRNA-seq,-1.5903091,1.0129896,DZ,EZH2,
scRNA-seq,-1.1056288,1.6065831,DZ,EZH2,
scRNA-seq,-0.7450473,1.8662672,DZ,EZH2,
scRNA-seq,-0.6112532,2.7521217,DZ,EZH2,
scRNA-seq,-3.7643049,4.862375,DZ,EZH2,
scRNA-seq,-1.4035182,1.0030932,DZ,EZH2,
scRNA-seq,-3.5344715,3.3066251,DZ,EZH2,
scRNA-seq,0.30983114,2.3507285,DZ,EZH2,
scRNA-seq,-2.1126628,3.0685925,DZ,EZH2,
scRNA-seq,-0.4937205,0.5364275,DZ,EZH2,
scRNA-seq,-3.3757052,4.2806983,DZ,EZH2,
scRNA-seq,0.17983507,0.4397118,DZ,EZH2,
scRNA-seq,-3.4323418,4.0801325,DZ,EZH2,
scRNA-seq,-2.0835426,0.46097916,DZ,EZH2,
scRNA-seq,-0.41037858,2.2353048,DZ,EZH2,
scRNA-seq,-3.625946,1.0015222,DZ,EZH2,
scRNA-seq,-3.6185088,4.876353,DZ,EZH2,
scRNA-seq,-1.7801583,2.725211,DZ,EZH2,
scRNA-seq,-1.4786515,0.2542193,DZ,EZH2,
scRNA-seq,0.27181548,0.15666617,DZ,EZH2,
scRNA-seq,0.056319155,2.6275535,DZ,EZH2,
scRNA-seq,0.31122312,1.6989623,DZ,EZH2,
scRNA-seq,-0.6795265,1.6551707,DZ,EZH2,
scRNA-seq,-4.022272,4.756684,DZ,EZH2,
scRNA-seq,-0.19621322,1.7971059,DZ,EZH2,
scRNA-seq,-4.2105594,3.5771544,DZ,EZH2,
scRNA-seq,-2.71468,0.7639409,DZ,EZH2,
scRNA-seq,-2.9222682,3.273851,DZ,EZH2,
scRNA-seq,-3.242597,4.226574,DZ,EZH2,
scRNA-seq,-0.243148,1.8802179,DZ,EZH2,
scRNA-seq,-2.260545,0.8423233,DZ,EZH2,
scRNA-seq,-0.091837615,2.0256174,DZ,EZH2,
scRNA-seq,-4.092819,2.726362,DZ,EZH2,
scRNA-seq,-1.0788189,3.3067603,DZ,EZH2,
scRNA-seq,0.9865275,12.582717,LZ,WT,
scRNA-seq,-0.68695885,12.298988,LZ,WT,
scRNA-seq,-2.3216963,11.331074,LZ,WT,
scRNA-seq,0.19454554,13.014651,LZ,WT,
scRNA-seq,1.9611028,10.144507,LZ,WT,
scRNA-seq,1.6063715,11.664289,LZ,WT,
scRNA-seq,-1.1364708,11.725209,LZ,WT,
scRNA-seq,-0.31005213,12.818837,LZ,WT,
scRNA-seq,1.411835,12.300183,LZ,WT,
